Station Id,Station,Pr�c�dent,Suivant,Temps entre 2 stations,Temps de Changement,Column1,_1,Longitude d�part,Latitude d�part ,_2,Longitude arriv�e,Latitude arriv�e,_3,Distance,temps en secondes,temps en minutes,moyenne en minute
58,Arts et Métiers,,59,,,,,2356508144,4886529961,,2361561235,4886675663,,4035642118,6922199174,1153699862,
59,Temple,,60,,,,,2361561235,4886675663,,2363302341,4886751236,,1525790638,2617136601,436189433,
60,République,,61,,,,,2363302341,4886751236,,237474775,4886525239,,8740877607,14992929,24988215,
61,Parmentier,,62,,,,,237474775,4886525239,,2380507756,488641177,,4398213346,7544105224,1257350871,
62,Rue Saint-Maur,,63,,,,,2380507756,488641177,,2387579891,4886244984,,5495678849,9426550342,1571091724,
63,Père Lachaise,,64,,,,,2387579891,4886244984,,2398537306,4886503256,,8514283304,1460425953,2434043254,
64,Gambetta,,65,,,,,2398537306,4886503256,,2408754221,4886453937,,7493591069,1285350098,2142250163,
65,Porte de Bagnolet,,0,,,,,2408754221,4886453937,,,,,,,,
66,Porte des Lilas,,67,,,,,2407061973,488765686,,2404498183,4887184337,,5578751478,9569041986,1594840331,
67,Saint-Fargeau,,68,,,,,2404498183,4887184337,,2401496792,4886846489,,4351070973,7463243521,124387392,
68,Pelleport,,69,,,,,2401496792,4886846489,,2398537306,4886503256,,4387745035,7526149289,1254358215,
69,Gambetta,,0,,,,,2398537306,4886503256,,,,,,,,
70,Porte de Clignancourt,,71,,,,,2344624099,4889752563,,2347596055,4889412444,,4361568642,7481249814,1246874969,
71,Simplon,,72,,,,,2347596055,4889412444,,2349681542,4889128044,,351072901,6021833636,1003638939,
72,Marcadet - Poissonniers,,73,,,,,2349681542,4889128044,,2349365808,4888707888,,4677621063,8023363744,1337227291,
73,Château Rouge,,74,,,,,2349365808,4888707888,,2350607079,4888377609,,3783019853,6488884825,1081480804,
74,Barbès - Rochechouart,,75,,,,,2350607079,4888377609,,2356808788,4887959171,,6497240843,1114449544,1857415907,
75,Gare du Nord,,76,,,,,2356808788,4887959171,,2358064594,4887616299,,392160931,6726602591,1121100432,
76,Gare de l'Est,,77,,,,,2358064594,4887616299,,2356051741,4887244692,,4386472013,7523965716,1253994286,
77,Château d'Eau,,78,,,,,2356051741,4887244692,,2354491617,4886962358,,3340347491,5729584032,954930672,
78,Strasbourg - Saint-Denis,,79,,,,,2354491617,4886962358,,2352050787,4886638176,,4022620901,6899864324,1149977387,
79,Réaumur - Sébastopol,,80,,,,,2352050787,4886638176,,2348976197,4886370301,,3732325484,6401930504,1066988417,
80,Etienne Marcel,,81,,,,,2348976197,4886370301,,2346127325,4886250484,,247345286,4242629262,707104877,
81,Les Halles,,82,,,,,2346127325,4886250484,,2348160991,4885695346,,6349605442,1089126148,1815210247,
82,Châtelet,,83,,,,,2348160991,4885695346,,2347232235,4885493385,,2346250451,4024443312,670740552,
83,Cité,,84,,,,,2347232235,4885493385,,2343991799,4885359408,,2800030007,4802795896,800465983,
84,Saint-Michel,,85,,,,,2343991799,4885359408,,2340692291,4885202455,,2978890025,5109588379,851598063,
85,Odéon,,86,,,,,2340692291,4885202455,,2333947811,4885357456,,5226983757,8965666822,1494277804,
86,Saint-Germain-des-Prés,,87,,,,,2333947811,4885357456,,2330611953,4885120863,,3588624493,6155445099,1025907517,
87,Saint-Sulpice,,88,,,,,2330611953,4885120863,,2327054815,4884700665,,534843754,9173992351,1528998725,
88,Saint-Placide,,89,,,,,2327054815,4884700665,,2323989185,4884382361,,4190429993,7187701533,1197950255,
89,Montparnasse Bienvenue,,90,,,,,2323989185,4884382361,,2328862854,4884205232,,4074263272,6988444721,1164740787,
90,Vavin,,91,,,,,2328862854,4884205232,,2330466994,4883915636,,3427482217,5879043254,979840542,
91,Raspail,,92,,,,,2330466994,4883915636,,2332018835,4883394869,,5901000537,101217848,1686964133,
92,Denfert-Rochereau,,93,,,,,2332018835,4883394869,,232988764,4883133758,,3295944606,565342128,94223688,
93,Mouton-Duvernet,,94,,,,,232988764,4883133758,,2327093235,4882820106,,4043233297,6935220063,1155870011,
94,Alésia,,95,,,,,2327093235,4882820106,,2325493265,4882341635,,5447754494,934434733,1557391222,
95,Porte d'Orléans,,0,,,,,2325493265,4882341635,,,,,,,,
96,Porte de Pantin,,97,,,,,2392122972,4888845921,,2386652017,4888691595,,4352627844,7465913969,1244318995,
97,Ourcq,,98,,,,,2386652017,4888691595,,2379390989,4888513385,,56668246,9720110806,1620018468,
98,Laumière,,99,,,,,2379390989,4888513385,,237143896,4888302391,,6270020307,1075475181,1792458636,
99,Jaurès,,100,,,,,237143896,4888302391,,2365774371,4888432055,,4385752326,7522731262,1253788544,
100,Stalingrad,,101,,,,,2365774371,4888432055,,2356808788,4887959171,,84041097,144152825,2402547084,
101,Gare du Nord,,102,,,,,2356808788,4887959171,,2358064594,4887616299,,392160931,6726602591,1121100432,
102,Gare de l'Est,,103,,,,,2358064594,4887616299,,2361023902,4887062093,,6531501939,1120326233,1867210389,
103,Jacques Bonsergent,,104,,,,,2361023902,4887062093,,2363302341,4886751236,,3837329912,6582041016,1097006836,
104,République,,105,,,,,2363302341,4886751236,,2368155845,488647771,,4674843839,8018600066,1336433344,
105,Oberkampf,,106,,,,,2368155845,488647771,,237181363,4885987694,,6070273961,1041213372,1735355621,
106,Richard-Lenoir,,107,,,,,237181363,4885987694,,2370194669,4885624405,,4209642329,7220655796,1203442633,
107,Bréguet-Sabin,,108,,,,,2370194669,4885624405,,2368718961,4885205429,,4782273627,8202870715,1367145119,
108,Bastille,,109,,,,,2368718961,4885205429,,2365884651,4884642732,,6591653347,1130643799,1884406331,
109,Quai de la Rapée,,110,,,,,2365884651,4884642732,,2364177311,4884340541,,3584965782,6149169438,1024861573,
110,Gare d'Austerlitz,,111,,,,,2364177311,4884340541,,236072186,4883851245,,5999694168,1029107061,1715178436,
111,Saint-Marcel,,112,,,,,236072186,4883851245,,2358741957,4883554293,,3605926926,6185123371,1030853895,
112,Campo-Formio,,113,,,,,2358741957,4883554293,,2355501591,4883096571,,5615128501,9631438252,1605239709,
113,Place d'Italie,,0,,,,,2355501591,4883096571,,,,,,,,
114,Charles de Gaulle - Etoile,,115,,,,,2295811775,4887499458,,2293146137,4887148941,,435795397,7475049691,1245841615,
115,Kléber,,116,,,,,2293146137,4887148941,,2290032838,4886684834,,5640695531,9675292505,1612548751,
116,Boissière,,117,,,,,2290032838,4886684834,,2287492797,4886348766,,4173315374,7158345411,1193057568,
117,Trocadéro,,118,,,,,2287492797,4886348766,,2285839419,4885751509,,6750437762,1157879548,1929799246,
118,Passy,,119,,,,,2285839419,4885751509,,2289400738,4885392537,,4766704662,8176165801,13626943,
119,Bir-Hakeim,,120,,,,,2289400738,4885392537,,2293663727,4885041162,,4999423885,8575341141,1429223524,
120,Dupleix,,121,,,,,2293663727,4885041162,,2298525726,488496308,,3661933802,6281190056,1046865009,
121,La Motte-Picquet - Grenelle,,122,,,,,2298525726,488496308,,2302941728,4884754311,,3978700805,6824529683,1137421614,
122,Cambronne,,123,,,,,2302941728,4884754311,,230952961,4884564768,,5261270208,9024477201,1504079534,
123,Sèvres-Lecourbe,,124,,,,,230952961,4884564768,,231291468,4884252839,,4262239126,7310873287,1218478881,
124,Pasteur,,125,,,,,231291468,4884252839,,2323989185,4884382361,,8231283269,1411883923,2353139871,
125,Montparnasse Bienvenue,,126,,,,,2323989185,4884382361,,2325286578,488409035,,3382979205,5802708756,967118126,
126,Edgar Quinet,,127,,,,,2325286578,488409035,,2330466994,4883915636,,4260029411,7307083037,1217847173,
127,Raspail,,128,,,,,2330466994,4883915636,,2332018835,4883394869,,5901000537,101217848,1686964133,
128,Denfert-Rochereau,,129,,,,,2332018835,4883394869,,2337154371,4883291601,,3930389599,674166312,112361052,
129,Saint-Jacques,,130,,,,,2337154371,4883291601,,2343438237,4883111595,,5016189184,8604098085,1434016348,
130,Glacière,,131,,,,,2343438237,4883111595,,2350611226,4882986001,,5433066753,9319153951,1553192325,
131,Corvisart,,132,,,,,2350611226,4882986001,,2355501591,4883096571,,3784929803,6492160897,1082026816,
132,Place d'Italie,,133,,,,,2355501591,4883096571,,2362804172,4883323528,,5911003081,1013894182,1689823637,
133,Nationale,,134,,,,,2362804172,4883323528,,2368081283,4883496308,,4313916789,7399514218,123325237,
134,Chevaleret,,135,,,,,2368081283,4883496308,,2372766249,4883707427,,4155546348,7127866805,1187977801,
135,Quai de la Gare,,136,,,,,2372766249,4883707427,,237946307,4884017603,,599308445,1027973319,1713288865,
136,Bercy,,137,,,,,237946307,4884017603,,238959977,4883903653,,7525979166,1290905517,2151509195,
137,Dugommier,,138,,,,,238959977,4883903653,,2396148628,4883943401,,48131578,8255845283,1375974214,
138,Daumesnil,,139,,,,,2396148628,4883943401,,2400867132,4884142733,,4103318294,7038281809,1173046968,
139,Bel-Air,,140,,,,,2400867132,4884142733,,2401274539,4884510325,,4098295328,7029666085,1171611014,
140,Picpus,,141,,,,,2401274539,4884510325,,2395843989,4884808429,,5174817487,88761878,1479364633,
141,Nation,,0,,,,,2395843989,4884808429,,,,,,,,
142,Porte de la Villette,,143,,,,,2385869033,4889780269,,2382291557,4889467266,,4353479628,7467375005,1244562501,
143,Corentin Cariou,,144,,,,,2382291557,4889467266,,2376935737,4889088576,,5749983048,9862749654,1643791609,
144,Crimée,,145,,,,,2376935737,4889088576,,2373669465,4888815726,,3861037678,6622706138,1103784356,
145,Riquet,,146,,,,,2373669465,4888815726,,2365774371,4888432055,,7178033862,1231223647,2052039412,
146,Stalingrad,,147,,,,,2365774371,4888432055,,2364424862,4888120621,,3600838353,6176395116,1029399186,
147,Louis Blanc,,148,,,,,2364424862,4888120621,,2362017936,4887844145,,3542469587,6076277165,1012712861,
148,Château Landon,,149,,,,,2362017936,4887844145,,2358064594,4887616299,,3844101646,659365634,1098942723,
149,Gare de l'Est,,150,,,,,2358064594,4887616299,,2348739751,4887716485,,6909737537,1185203694,197533949,
150,Poissonnière,,151,,,,,2348739751,4887716485,,234444631,4887596328,,3412288269,5852981593,975496932,
151,Cadet,,152,,,,,234444631,4887596328,,234015056,4887495941,,3334014082,5718720552,953120092,
152,Le Peletier,,153,,,,,234015056,4887495941,,2333738594,488731342,,5109723193,8764533778,146075563,
153,Chaussée d'Antin - La Fayette,,154,,,,,2333738594,488731342,,2331047287,4887143743,,2726558433,4676772612,779462102,
154,Opéra,,155,,,,,2331047287,4887143743,,2334623606,4886575553,,6838086338,1172913609,1954856014,
155,Pyramides,,156,,,,,2334623606,4886575553,,2336454368,4886222226,,4150787712,711970448,1186617413,
156,Palais Royal - Musée du Louvre,,157,,,,,2336454368,4886222226,,2341776749,4885854634,,5645090237,9682830596,1613805099,
157,Pont Neuf,,158,,,,,2341776749,4885854634,,2348160991,4885695346,,4995181974,8568065136,1428010856,
158,Châtelet,,159,,,,,2348160991,4885695346,,2357376669,4885345986,,7781445723,1334724824,2224541373,
159,Pont Marie (Cité des Arts),,160,,,,,2357376669,4885345986,,236185317,4885127141,,4080345582,69988775,1166479583,
160,Sully - Morland,,161,,,,,236185317,4885127141,,2354931672,4884619789,,7581323083,130039847,2167330784,
161,Jussieu,,162,,,,,2354931672,4884619789,,2352154869,4884266638,,4421458117,7583976188,1263996031,
162,Place Monge,,163,,,,,2352154869,4884266638,,2351626573,4884022625,,2740707165,4701041449,783506908,
163,Censier - Daubenton,,164,,,,,2351626573,4884022625,,2352416802,4883584162,,4909669139,8421387888,1403564648,
164,Les Gobelins,,165,,,,,2352416802,4883584162,,2355501591,4883096571,,5873123023,1007396745,1678994575,
165,Place d'Italie,,166,,,,,2355501591,4883096571,,2357318439,4882613686,,5531692832,9488323897,1581387316,
166,Tolbiac,,167,,,,,2357318439,4882613686,,2358412946,4882214951,,4505551263,7728218291,1288036382,
167,Maison Blanche,,168,,,,,2358412946,4882214951,,2359529733,488191066,,348094947,5970753808,995125635,
168,Porte d'Italie,,169,,,,,2359529733,488191066,,2364678594,4882005593,,3914712524,6714772768,1119128795,
169,Porte de Choisy,,170,,,,,2364678594,4882005593,,2369511254,4882148903,,3880414083,6655941823,1109323637,
170,Porte d'Ivry,,0,,,,,2369511254,4882148903,,,,,,,,
171,Maison Blanche,,0,,,,,2358412946,4882214951,,,,,,,,
172,Louis Blanc,,173,,,,,2364424862,4888120621,,237143896,4888302391,,551280135,9455919982,1575986664,
173,Jaurès,,174,,,,,237143896,4888302391,,2374124871,4888078966,,3166939088,5432142518,905357086,
174,Bolivar,,175,,,,,2374124871,4888078966,,2381569842,4887849909,,6010579444,1030974176,1718290293,
175,Buttes Chaumont,,176,,,,,2381569842,4887849909,,2388900951,4887953499,,5483403072,940549412,1567582353,
176,Botzaris,,177,,,,,2388900951,4887953499,,239313937,4887672366,,4402175793,7550901875,1258483646,
177,Place des Fêtes,,178,,,,,239313937,4887672366,,2398580771,4888015958,,5516413397,9462115605,1577019267,
178,Pré-Saint-Gervais,,179,,,,,2398580771,4888015958,,2393228471,4888194921,,4390691692,7531203588,1255200598,
179,Danube,,176,,,,,2393228471,4888194921,,2388900951,4887953499,,414976242,7117945832,1186324305,
180,Botzaris,,0,,,,,2388900951,4887953499,,,,,,,,
181,Balard,,182,,,,,2278362662,4883666789,,228224196,4883866086,,3601658581,6177802025,1029633671,
